ENTRÉES & SIDES,Serv-SizeServing Size,CaloriesCalories,Cal-FatCalories From Fat,Total Fat (g)Total Fat in Grams,Sat-Fat (g)Saturated Fat in Grams,Trans Fat (g)Trans Fat in Grams,Chol- (mg)Cholesterol in Milligrams,Sodium (mg)Sodium in Milligrams,Tot-Carb (g)Total Carbohydrates in Grams,Diet-Fiber (g)Fiber in Grams,Sugar (g)Sugar in Grams,Protei- (g)Protein in Grams,Vit-A (%DV)Vitamin A (% Daily Value),Vit-C (%DV)Vitamin C (% Daily Value),Calc- (%DV)Calcium (% Daily Value),Iron (%DV)Iron (% Daily Value),Aller/OtherAllergies/Other
CHARBURGERS,,,,,,,,,,,,,,,,,
CHARBURGER ON SEEDED BUN,260g,470,305,35,9,0,75,1240,35,1,4,20,10%,15%,6%,20%,E S W SE G SO
DOUBLE CHARBURGER ON SEEDED BUN,320g,640,485,55,16,0,120,2130,35,3,8,39,10%,15%,8%,30%,E S W SE G SO
BBQ BACON CHARBURGER ON SEEDED BUN,305g,630,310,44,9,0,85,1780,45,2,17,27,10%,15%,6%,25%,E S W SE G SO
TERIYAKI CHARBURGER ON SEEDED BUN,300g,510,308,35,6,0,65,1610,52,3,16,23,10%,15%,6%,25%,E S W SE G SO
PORTABELLA CHARBURGER ON SEEDED BUN,310g,940,660,76,19,0,130,2050,39,2,6,33,15%,8%,15%,25%,D E S F W SE G SO
SANTA BARBARA CHARBURGER ON SOURDOUGH,341g,930,492,69,21,0,150,2360,56,7,5,52,28%,23%,26%,34%,D E S W G SO
"LETTUCE WRAP CHARBURGER (extra lettuce, no bun)",257g,352,170,19,9,0,65,990,10,3,2,18,15%,15%,4%,10%,E S SO
ORIGINAL IMPOSSIBLE™ BURGER,381g,530,250,29,11,0,10,2090,46,6,8,20,50%,10%,20%,40%,E S W G SO
SANDWICHES,,,,,,,,,,,,,,,,,
CHICKEN CLUB ON SOURDOUGH,371g,730,350,39,8,0,110,1845,51,7,4,47,50%,30%,4%,25%,D E S W G SO
