Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
BaconUltimateCheeseburger,284,7.99,910,500,56,24,3,165,2190,44,2,7,27
Hamburger,105,2.39,280,100,11,4,0.5,25,680,32,1,5,14
Jr.Jackw/Cheese,153,2.99,370,170,19,7,1,40,920,33,2,66,16
Jr.BaconCheeseburger,120,2.99,390,180,21,8,1,45,960,32,1,6,19
JumboJackw/Cheese,241,4.69,570,270,30,13,1.5,80,1310,45,3,8,30
SourdoughJack,223,7.49,660,360,41,15,1.5,90,1450,40,3,8,35
UltimateCheeseburger,266,7.49,820,440,49,21,3,145,1780,44,2,7,50
ChickenFajitaPitamadew/WholeGrain(w/salsa),192,6.29,330,100,11,5,0,65,870,35,4,4,24
ChickenNuggets5pc.,77,2.79,240,150,17,2,0,25,600,13,1,0,9
ChickenNuggets10pc.,153,4.79,480,300,33,4.5,0,50,1210,26,2,0,19
ChickenSandwich,147,2.69,410,190,21,3.5,0,30,880,42,2,4,15
HomestyleRanchChickenClub,272,7.49,730,310,35,8,0,80,2010,65,3,8,39
Jack’sSpicyChicken,242,6.69,530,180,20,3,0,55,820,61,3,6,28
SourdoughGrilledChickenClub,261,7.29,540,230,26,7,0,90,1490,38,3,6,39
BaconBreakfastJack,115,3.69,310,120,14,5,0,240,790,30,1,4,17
BreakfastJack,125,3.49,280,100,11,4.5,0,240,780,30,1,4,16
ExtremeSausageSandwich,210,5.49,660,420,47,17,1.5,310,1360,32,2,5,29
JumboBreakfastPlatterBacon,239,5.49,560,280,31,7,0,420,1250,46,3,7,24
JumboBreakfastPlatterSausage,259,5.49,640,360,40,10,0,435,1110,47,3,7,23
MeatyBreakfastBurrito(w/salsa),260,5.99,620,340,37,15,0.5,465,1560,40,4,3,33
MiniPancakes,71,2.99,140,15,1.5,0,0,0,350,28,1,6,4
SausageBreakfastJack,145,3.69,430,240,26,10,0,265,860,30,1,4,19
SausageCroissant,159,5.29,560,350,39,16,0.5,275,760,32,2,3,19
SupremeCroissant,148,5.49,450,240,27,12,0.5,260,890,32,2,4,19
UltimateBreakfastSandwich,226,5.99,520,220,25,10,0,490,1590,42,2,5,33
