Resturant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
KFC,OriginalRecipeChickenBreast,,3.69,390,,21,4,0,120,1190,11,2,0,39
KFC,OriginalRecipeChickenDrumstick,,2.49,130,,8,1.5,0,55,430,4,1,0,12
KFC,OriginalRecipeChickenThigh,,2.49,280,,19,4.5,0,100,910,8,1,0,19
KFC,OriginalRecipeChickenWholeWing,,1.79,130,,8,2,0,55,380,3,0,0,10
KFC,ExtraCrispyChickenBreast,,3.69,530,,35,6,0,105,1150,18,0,0,35
KFC,ExtraCrispyChickenDrumstick,,2.49,170,,12,2,0,50,390,5,0,0,10
KFC,ExtraCrispyChickenThigh,,2.49,330,,23,4.5,0,100,700,9,0,0,22
KFC,ExtraCrispyChickenWholeWing,,1.79,170,,13,2,0,45,340,5,0,0,10
KFC,ChickenLittleSandwich,,3.29,300,,15,2.5,0,30,620,27,1,3,14
KFC,ClassicChickenSandwich,,6.49,650,,35,4.5,0,90,1260,49,1,6,34
KFC,ChickenPotPie,,6.29,720,,41,25,0,80,1750,60,7,5,26
KFC,KFCFamousBowl,,6.49,590,,23,5,0,85,2160,67,4,2,31
KFC,Coleslaw,,2.89,170,,12,2,0,5,180,14,4,10,1
KFC,Macaroni&Cheese,,2.89,140,,6,1.5,0,5,590,17,1,2,5
KFC,MashedPotatoes,,2.89,110,,3.5,0.5,0,0,330,17,1,0,2
KFC,MashedPotatoesWithGravy,,2.89,130,,4.5,1,0,0,520,20,1,0,3
KFC,SecretRecipeFries,,2.89,320,,15,2,0,0,1100,41,3,0,5
