Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Popeyes,NUGGETS(8Pieces),,3.99,380,220,24,11,1.5,80,880,19,1,0,22
Popeyes,NUGGETS(12Pieces),,7.49,570,320,36,16,2,120,1320,28,2,0.5,34
Popeyes,CHICKENSANDWICH-CLASSIC,,4.99,700,380,42,14,2,90,1440,50,2,8,28
Popeyes,CHICKENSANDWICH-SPICY,,4.99,700,380,42,14,2,90,1470,50,2,8,28
Popeyes,CAJUNFRIES(Reg),,4.49,270,130,14,5,1,5,590,33,3,0,4
Popeyes,CAJUNFRIES(Lg),,6.79,800,370,42,15,2,10,1760,97,9,1,10
Popeyes,HOMESTYLEMAC&CHEESE(Lg),,7.29,850,550,63,36,1.5,180,1540,48,1,9,33
Popeyes,MASHEDPOTATOESWITHCAJUNGRAVY(Reg),,4.49,110,40,4,2,0,5,590,18,1,1,3
Popeyes,MASHEDPOTATOESWITHCAJUNGRAVY(Lg),,6.79,330,110,12,6,0,15,1770,54,3,3,9
Popeyes,REDBEANS&RICE(Reg),,4.49,250,140,16,5,0,15,610,22,6,0,8
Popeyes,REDBEANS&RICE(Lg),,6.79,610,360,40,13,0,35,1490,51,15,0,19
Popeyes,COLESLAW(Reg),,4.49,140,90,10,2,0,5,190,12,1,9,1
Popeyes,COLESLAW(Lg),,6.79,420,270,30,5,0,15,570,36,3,27,3
