Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholestrol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
SonicDrive-In,JR.CHEESEBURGER,,2.18,380,190,21,7,0,30,900,33,1,5,16
SonicDrive-In,QUARTERPOUNDDOUBLECHEESEBURGER,,3.65,560,320,35,12,0,60,1290,34,1,6,26
SonicDrive-In,SONICCHEESEBURGERWITHKETCHUP&MAYO,,7.06,720,380,42,11,0,70,1400,52,2,12,31
SonicDrive-In,SuperSONICBACONDOUBLECHEESEBURGERWITHMAYO,,9.75,1140,690,77,23,0,150,2020,52,5,10,58
SonicDrive-In,SuperSONICDOUBLECHEESEBURGERWITHKETCHUP&MAYO,,9.50,1070,630,71,21,0,135,2020,54,2,12,53
SonicDrive-In,CORNDOG,,2.43,230,120,13,4,0,15,480,23,1,5,6
SonicDrive-In,GRILLEDCHEESESANDWICH,,2.43,430,170,19,7,0,35,1090,51,2,7,14
SonicDrive-In,ALL-AMERICANHOTDOG,,3.40,410,190,21,8,1,35,1120,41,2,12,13
SonicDrive-In,CHILICHEESECONEY,,3.40,470,260,29,12,1.5,55,1260,34,2,5,18
SonicDrive-In,FOOTLONGQUARTERPOUNDCONEY,,6.82,790,440,49,19,1,105,2300,55,3,9,31
SonicDrive-In,BREAKFASTBURRITOBACON,,5.72,470,230,25,11,0,320,1540,35,1,1,25
SonicDrive-In,BREAKFASTBURRITOHAM,,5.72,440,180,20,9,0,330,1920,38,1,2,27
SonicDrive-In,BREAKFASTBURRITOSAUSAGE,,5.72,500,270,30,13,0,325,1430,35,1,1,23
SonicDrive-In,BREAKFASTTOASTERBACON,,6.09,520,260,29,12,0,105,1430,43,3,4,23
SonicDrive-In,BREAKFASTTOASTERHAM,,6.09,500,210,24,11,0,115,1820,45,3,6,25
SonicDrive-In,BREAKFASTTOASTERSAUSAGE,,6.09,670,400,45,18,0,125,1500,43,3,4,25
SonicDrive-In,BACONJR.BREAKFASTBURRITO,,2.67,270,120,14,6,0,145,870,22,1,0,13
SonicDrive-In,SAUSAGEJR.BREAKFASTBURRITO,,2.67,290,150,17,7,0,145,820,22,1,0,12
SonicDrive-In,SuperSONICBREAKFASTBURRITO,,7.67,610,310,35,14,0,325,1800,49,3,3,24
SonicDrive-In,ULTIMATEMEAT&CHEESEBREAKFASTBURRITO,,7.67,840,530,58,19,0.5,360,2220,47,2,1,30
