Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
BlimpieBest,309,16.59,450,,15,5,0,50,1430,53,3,7,26
BLTA,254,16.99,580,,32,7,0,35,1230,51,4,5,19
BuffaloChicken(withCiabatta),307,17.99,510,,19,5,0,70,1920,56,5,7,31
ChickenCheddarBaconRanch,350,16.99,580,,25,8,0,85,1420,52,2,6,34
Club,303,15.99,430,,14,5,0,50,1200,54,3,7,25
Ham&Swiss,298,15.99,420,,13,5,0,45,1130,53,3,7,25
HobokenHero,303,15.99,530,,25,9,0,60,1560,53,3,7,27
ItalianBeef,291,16.59,540,,21,9,0,80,2190,49,2,3,41
MeatballParmigiana,347,18.49,730,,36,16,0.5,100,2040,58,3,7,44
PhillyCheesesteak,239,16.99,560,,24,8,0,60,1460,50,2,5,33
RoastBeef&Provolone,326,15.99,440,,13,5,0,60,1370,53,3,6,31
Sicilian(withCiabatta),235,17.99,520,,20,6,0,55,1780,58,4,9,27
SpicyItalian,304,15.99,460,,19,7,0,45,1580,53,2,6,23
TheBlimp,459,19.99,810,,48,11,0,115,2830,63,3,12,38
TrioSupreme,389,16.99,760,,43,10,0,110,2160,55,2,7,41
Tuna,267,15.99,470,,21,3,0,40,810,48,2,4,21
TurkeyBacon&Cheddar(withCiabatta),263,17.99,520,,16,6,0,75,1850,54,4,6,30
Turkey&Provolone,326,15.99,440,,14,4,0,55,1610,56,3,7,27
TurkeyReuben(withCiabatta),254,15.99,520,,21,5,0,70,1780,58,5,9,27
UltimateClub(withCiabatta),277,17.99,570,,27,8,0,65,1570,58,5,8,28
OriginalPizzaSub,251,15.99,490,,23,9,0,50,1330,51,2,6,22
SpicyHawaiianPizzaSub,307,16.99,520,,18,7,0,70,2340,55,2,10,34
ChickenCaesarSalad,269,16.99,160,,5,2.5,0,55,660,7,3,3,22
