Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Buffalo Wild Wings,SIXCOUNTBONELESSWINGS,,10.79,360,,19,7,1,85,1260,20,1,0,29
Buffalo Wild Wings,TENCOUNTBONELESSWINGS,,14.49,610,,31,12,2,140,2090,34,1,1,48
Buffalo Wild Wings,FIFTEENCOUNTBONELESSWINGS,,20.99,910,,46,18,3,215,3140,51,2,1,72
Buffalo Wild Wings,SIXCOUNTTRADITIONALWINGS,,12.79,430,,24,8,0.5,215,160,0,0,0,53
Buffalo Wild Wings,SIXCOUNTTRADITIONALWINGSFLATS,,13.79,410,,25,8,0.5,210,140,0,0,0,46
Buffalo Wild Wings,SIXCOUNTTRADITIONALWINGSDRUMS,,13.79,450,,23,8,0.5,215,180,0,0,0,60
Buffalo Wild Wings,TENCOUNTTRADITIONALWINGS,,18.79,720,,41,13,1,360,270,0,0,0,88
Buffalo Wild Wings,TENCOUNTTRADITIONALWINGSFLATS,,19.79,680,,42,14,1,350,230,0,0,0,77
Buffalo Wild Wings,TENCOUNTTRADITIONALWINGSDRUMS,,19.79,750,,39,13,1,360,300,0,0,0,100
Buffalo Wild Wings,FIFTEENCOUNTTRADITIONALWINGS,,26.49,1080,,61,20,1.5,540,400,0,0,0,132
Buffalo Wild Wings,FIFTEENCOUNTTRADITIONALWINGSFLATS,,28.49,1020,,63,20,1.5,530,350,0,0,0,115
Buffalo Wild Wings,FIFTEENCOUNTTRADITIONALWINGSDRUMS,,28.49,1120,,58,20,1.5,545,450,0,0,0,150
Buffalo Wild Wings,SMALLCAULIFLOWERWINGS,,13.79,520,,29,11,1.5,35,650,58,5,4,8
Buffalo Wild Wings,LARGECAULIFLOWERWINGS,,23.29,1040,,57,22,3.5,65,1300,116,11,8,16
Buffalo Wild Wings,All-AmericanCheeseburger,,13.49,820,,53,22,2.5,145,2040,38,3,7,48
Buffalo Wild Wings,BaconSmashedHatchChileBurger,,16.79,990,,64,27,2.5,200,2380,43,3,9,60
Buffalo Wild Wings,CheeseCurdBaconBurger,,15.79,1210,,83,35,4,210,2790,50,4,9,68
Buffalo Wild Wings,SmokedBrisketBurger,,17.79,1020,,66,27,3.5,190,2610,44,3,11,61
Buffalo Wild Wings,SouthwesternBlackBeanBurger,,14.79,740,,42,11,0,30,1780,74,17,11,31
Buffalo Wild Wings,BuffaloRanchChickenSandwich,,13.99,730,,41,12,1.5,75,3440,59,4,7,31
Buffalo Wild Wings,ClassicChickenSandwich,,10.49,620,,32,10,1.5,70,1220,54,3,5,30
Buffalo Wild Wings,NashvilleHotChickenSandwich,,13.99,810,,47,14,1.5,70,2690,67,4,13,31
Buffalo Wild Wings,SaucyChickenSandwich,,11.29,500,,19,8,1,60,1210,53,3,5,30
Buffalo Wild Wings,SouthernChickenSandwich,,13.99,870,,53,17,1.5,95,1560,62,3,11,38
Buffalo Wild Wings,BrisketTacos,,14.29,610,,30,11,2,95,1820,53,6,9,33
Buffalo Wild Wings,BuffaloRanchChickenWrap,,13.29,860,,49,15,1.5,95,3240,71,3,6,35
Buffalo Wild Wings,ClassicChickenWrapwithPulledChicken,,13.29,680,,25,11,0,145,2000,57,2,6,56
Buffalo Wild Wings,ClassicChickenWrapwithBonelessWings,,13.29,670,,29,12,1,85,1900,68,3,5,34
Buffalo Wild Wings,StreetTacos,,13.29,630,,39,9,0,80,2140,43,3,4,28
Buffalo Wild Wings,FivecountHand-BreadedChickenTenders,,15.29,820,,40,16,2,185,2480,56,3,0,58
Buffalo Wild Wings,FivecountNakedChickenTenders,,15.29,260,,2,0.5,0,0,1910,0,0,0,61
Buffalo Wild Wings,CrispyBuffaloChickenSaladwithBleuCheeseDressing,,16.29,910,,70,19,1.5,150,3180,36,5,6,35
Buffalo Wild Wings,ChickenCaesarSaladwithCaesarDressing,,13.79,780,,59,12,0,95,2700,30,5,6,33
Buffalo Wild Wings,ChoppedCobbSaladwithRanchDressing,,13.79,830,,69,16,1,285,1900,15,5,7,38
