,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
WHOPPERSandwich,270,7.99,660,360,40,12,1.5,90,980,49,2,11,28
DOUBLEWHOPPERSandwich,354,9.19,900,520,58,20,3,175,1050,49,2,11,48
TRIPLEWHOPPERSandwich,438,10.09,1130,680,75,28,4,255,1120,49,2,11,67
WHOPPERJR.Sandwich,134,4.19,310,160,18,5,0.5,40,390,27,1,7,13
BACONKINGSandwich,356,9.29,1150,710,79,31,3.5,240,2150,49,2,10,61
SingleQuarterPoundKINGSandwich,231,8.39,580,260,29,13,1.5,105,1310,49,2,10,32
IMPOSSIBLEWHOPPERSandwich,285,630,630,310,34,11,0,10,1080,58,4,12,25
Hamburger,99,1.29,240,90,10,3.5,0.5,35,380,26,1,6,13
Cheeseburger,111,1.99,280,120,13,6,0.5,45,560,27,1,7,15
DoubleCheeseburger,148,2.99,390,190,21,9,1.5,85,590,27,1,7,23
BaconCheeseburger,118,2.39,320,140,16,7,0.5,55,710,27,1,7,17
BaconDoubleCheeseburger,155,4.39,420,210,24,10,1.5,90,740,27,1,7,25
OriginalChickenSandwich,219,6.79,660,360,40,7,0,75,1170,48,2,5,28
Bacon&CheeseCrispyChickenSandwich,262,6.79,800,460,52,13,1,95,1650,55,2,8,30
CrispyChickenJr.,142,1.99,450,270,30,5,0,30,780,34,2,5,12
ChickenNuggets-4pc,58,1.49,170,100,11,1.5,0,25,310,11,1,0,8
ChickenFries-9pc.,91,4.99,280,150,17,2.5,0,35,850,20,1,1,13
BIGFISHSandwich,188,7.39,510,250,28,4.5,0,30,1180,51,2,7,16
CROISSAN'WICHEgg&Cheese,125,4.29,340,170,18,8,0,160,610,29,1,4,12
CROISSAN'WICHSausageEgg&Cheese,169,5.29,500,300,33,13,0,195,930,30,1,4,19
CROISSAN'WICHHamEgg&Cheese,156,5.29,370,170,19,8,0,175,1030,30,1,5,17
CROISSAN'WICHBaconEgg&Cheese,132,5.29,370,190,21,9,0,170,760,30,1,4,14
FullyLoadedCROISSAN'WICH,218,6.59,610,360,40,17,0.5,225,1680,31,1,5,28
DoubleCROISSAN'WICHWithSausage,224,6.09,710,470,52,20,0.5,240,1420,31,1,5,29
FullyLoadedBiscuit,238,6.59,640,400,45,20,0,225,2190,31,1,4,28
HamEgg&CheeseBiscuit,176,5.29,400,210,24,12,0,175,1550,29,1,3,17
SausageEgg&CheeseBiscuit,189,5.29,530,340,38,17,0,195,1440,29,1,3,19
BaconEgg&CheeseBiscuit,152,5.29,400,230,26,13,0,170,1270,29,1,3,13
SausageBiscuit,121,1.69,420,250,28,6,0,35,1050,28,1,2,12
BreakfastBurritoJr.,143,1.99,370,210,23,8,0,150,930,27,3,2,15
EGG-NORMOUSBURRITO,310,6.09,780,380,42,15,0,355,1960,68,3,4,32
