Restaurant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Carl's Jr.,Famous Star® with Cheese ,269,6.19,670,342,38,13,1,75,1280,56,3,12,28
Carl's Jr.,Super Star® with Cheese ,345,7.79,930,516,57,23,2,145,1610,56,3,12,47
Carl's Jr.,Western Bacon Cheeseburger® ,254,7.09,780,330,36,14,1,85,1720,77,4,16,38
Carl's Jr.,Double Western Bacon Cheeseburger® ,336,8.79,1040,500,56,24,2,150,2050,78,4,16,58
Carl's Jr.,The Big Carl®,323,7.59,930,530,58,23,2,145,1390,56,3,12,47
Carl's Jr.,Original Angus Burger ,332,8.09,780,430,48,15,2,110,1660,56,3,14,34
Carl's Jr.,Guacamole Bacon Angus Burger ,375,9.39,970,580,65,19,2,150,1750,55,5,11,44
Carl's Jr.,Jalapeño Angus Burger ,323,8.39,830,480,54,16,2,130,1450,53,4,10,35
Carl's Jr.,California Classic Double Cheeseburger ,260,3.99,590,370,41,14,1.5,85,1100,40,2,9,23
Carl's Jr.,Big Hamburger ,210,4.49,480,160,18,8,0.5,50,970,55,3,13,25
Carl's Jr.,Big Hamburger with Cheese ,226,4.88,540,200,23,11,1,65,1240,56,3,13,28
Carl's Jr.,Hand-Breaded Chicken Sandwich ,252,7.29,650,290,32,5,0,85,2660,59,2,7,30
Carl's Jr.,Charbroiled Chicken Club™ Sandwich ,269,8.59,650,272,30,8,0,155,1870,53,3,11,43
Carl's Jr.,Charbroiled Santa Fe Chicken™ Sandwich ,285,8.09,670,320,35,8,0.5,105,1770,52,3,7,36
Carl's Jr.,Charbroiled BBQ Chicken™ Sandwich ,254,7.49,400,40,5,1,0,110,1330,57,3,13,33
Carl's Jr.,Hand-Breaded Bacon Swiss Chicken Sandwich ,299,8.49,780,380,42,10,0,120,3100,61,2,8,41
Carl's Jr.,Hand-Breaded Chicken Tenders™ 3 pcs ,128,6.19,260,110,13,3,0,70,770,13,2,0,25
Carl's Jr.,Hand-Breaded Chicken Tenders™ 5 pcs ,213,8.39,440,190,21,5,0,115,1290,21,3,0,41
Carl's Jr.,Spicy Chicken Sandwich ,177,3.39,490,260,29,6,0,40,1320,43,4,4,14
Carl's Jr.,Chicken Stars™ 6 pcs ,91,4.99,270,140,15,3,0,50,480,19,3,0,14
Carl's Jr.,Chicken Stars™ 9 pcs ,137,6.89,410,210,23,5,0,75,710,29,5,0,21
