Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
DryRub-FullRack,,22.79,1480,107,970,41,0,410,5120,30,3,24,99
DryRub-HalfRack,,17.69,780,54,490,20,0,205,2960,23,2,19,50
Honey-ChipotleBBQ-FullRack,,22.79,1520,106,950,41,0,410,1800,47,0,34,98
Honey-ChipotleBBQ-HalfRack,,17.69,760,53,480,20,0,205,900,23,0,17,49
HouseBBQ-FullRack,,22.79,1440,107,960,41,0,410,2180,21,1,19,99
HouseBBQ-HalfRack,,17.69,720,53,480,20,0,205,1090,11,1,9,49
AlexsSantaFeBurger,,13.19,920,61,550,23,2.5,135,1130,49,6,11,49
BaconRancherBurger,,17.29,1710,123,1110,50,6,305,2660,48,3,14,100
BBQBrisketBurger,,14.39,1270,88,790,33,2.5,205,2180,61,4,25,65
BigBaconBBQBurger,,17.29,1660,114,1030,49,5,300,2650,57,3,21,102
BigMouthBites,,12.59,1210,72,650,26,2.5,185,2540,76,4,19,65
ChilisSecretSauceBurger,,11.49,970,65,580,24,3,135,1180,50,3,17,46
JustBaconBurger,,12.49,1020,69,620,26,2.5,155,1330,47,3,12,53
MushroomSwissBurger,,12.19,990,68,610,25,3,140,1000,47,4,12,50
OldtimerwithCheeseBurger,,11.49,850,53,470,22,2.5,130,1220,46,4,11,48
QuesoBurger,,11.49,930,60,540,24,3,130,1160,51,3,12,49
BakedSeafoodPasta,,20.19,1600,99,890,57,2.5,475,5420,121,8,15,109
CajunPastawithGrilledChicken,,14.59,1200,57,510,23,1,180,3710,110,8,6,62
CajunPastawithSearedShrimp,,15.49,1090,51,460,22,1,195,3580,109,7,5,47
CrispyHoneyChipotle,,12.89,1830,92,830,16,0,110,4990,200,10,66,57
Crispy,,12.89,1390,74,670,12,0,95,3680,127,9,13,55
GrilledChicken,,14.59,1120,34,300,9,0,210,3710,127,13,16,77
FreshMexBowlChipotleChicken,,12.99,920,49,440,12,0,110,1700,80,7,7,42
FreshMexBowlChipotleShrimp,,13.29,880,47,430,12,0,220,2910,80,7,8,34
QuesadillaBaconRanchChicken,,12.99,1670,125,1130,39,1.5,245,2980,69,4,10,70
QuesadillaBrisket,,13.99,1670,129,1150,44,1.5,195,2930,76,4,17,54
TacosSpicyShrimp,,13.29,970,46,410,11,0,210,3190,111,15,18,39
BonelessBuffaloChickenSalad,,13.19,1020,64,580,14,0.5,145,4780,60,7,7,52
CaesarSaladSide,,5.89,350,30,270,7,0,35,560,14,3,2,9
ChilisCeesarSalad,,8.99,490,37,340,9,0,50,870,25,5,4,16
ChilisHouseSaladwoDressing,,8.99,280,14,130,6,0,25,560,29,4,7,12
HouseSalSidewoDressing,,5.89,150,7,60,3,0,15,280,15,2,4,6
QuesadillaExplosionSalad,,13.59,1190,89,700,24,0,155,1510,70,9,15,55
SantaFeChickenSaladwChicken,,13.89,560,39,350,7,0,90,670,25,8,7,30
SantaFeChickenSaladwCrispers,,13.89,810,60,540,10,0,65,1990,44,9,7,28
BaconAvocavoChickenSandwich,,13.39,1150,62,560,16,0.5,260,2220,74,8,15,78
BuffaloChickenRanchSandwich,,11.99,980,51,460,9,0,110,4300,84,6,13,46
BigMouthCrispiesChickenSandwich,,11.99,1040,56,510,10,0,110,2530,90,6,20,45
Cilantro-LimeCarneAsada,,15.99,910,30,270,10,0,90,2460,110,11,8,48
ClassicRibeye,,22.69,630,40,360,17,2.5,185,1450,0,0,0,67
ClassicSirloin10oz,,21.29,390,19,170,7,1,140,960,2,0,1,55
ClassicSirloin60z,,15.49,260,13,120,4.5,0,85,640,1,0,0,34
