Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Hamburger,100,3.39,250,80,9,3.5,0.5,25,520,31,2,6,12
Cheeseburger,114,3.59,300,110,12,6,0.5,40,750,33,2,6,15
DoubleCheeseburger,165,5.09,440,210,23,11,1.5,80,1150,34,2,7,25
McDouble,151,4.79,390,170,19,8,1,65,920,33,2,7,22
QuarterPounder®withCheese+,198,6.99,510,230,26,12,1.5,90,1190,40,3,9,29
DoubleQuarterPounder®withCheese++,279,8.79,740,380,42,19,2.5,155,1380,40,3,9,48
BigMac,214,6.89,540,260,29,10,1.5,75,1040,45,3,9,25
Filet-O-Fish,142,5.79,380,170,18,3.5,0,40,640,38,2,5,15
McChicken,143,4.59,360,150,16,3,0,35,830,40,2,5,14
ChickenMcNuggets(10piece),162,6.59,470,270,30,5,0,65,900,30,2,0,22
EggMcMuffin,137,5.89,300,110,12,5,0,260,820,30,2,3,18
SausageMcMuffin,11,4.79,370,200,22,8,0,45,850,29,2,2,14
SausageEggMcMuffin,162,5.99,450,250,27,10,0,285,920,30,2,2,21
EnglishMuffin,56,3.19,160,30,3,0.5,0,0,280,27,2,2,5
BaconEgg&CheeseBiscuit,140,5.99,420,210,23,12,0,235,1160,37,2,3,15
SausageEggBiscuit,163,5.99,510,290,33,14,0,250,1170,36,2,2,18
SausageBiscuit,117,4.79,430,240,27,12,0,30,1080,34,2,2,11
BaconEgg&CheeseMcGriddles,164,6.59,420,160,18,8,0,240,1110,48,2,15,15
SausageEgg&CheeseMcGriddles,201,6.59,560,290,32,12,0,265,1360,48,2,15,20
SausageMcGriddles,141,4.79,420,200,22,8,0,35,1030,44,2,15,11
SausageBurrito,111,3.49,300,140,16,7,0,115,830,26,1,2,12
