Restaurant,U.S. Systemwide Sales (Millions),Average Sales per unit (Thousands),Total Units
Arby's,4462,1309,3409
Blimpie,,,126
Buffalo Wild Wings,3114,2586,1204
Burger King,10033,1470,7105
Carl's Jr.,1560,1400,1058
Chick-Fil-A,16700,6100,15450
Chili's,,,
Del Taco,931,1551,600
In-N-Out Burger,1175,3200,370
Jack in the Box,4077,1843,2218
KFC,5100,1408,3953
McDonald's,45960,3420,13438
Popeyes,4775,1867,2754
Raising Cane's,2377,4989,567
Sonic Drive-In,5835,1643,3552
Taco Bell,12600,1823,7002
Wendy's,11111,1895,5938
