Resturant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Wendy's,Baconator,,8.29,950,,62,24,3,205,1630,40,2,8,59
Wendy's,Dave’s Double,,6.99,810,,51,20,3,175,1280,41,3,8,49
Wendy's,Dave’s Single,,5.49,570,,34,13,1.5,100,1110,40,3,9,30
Wendy's,Dave’s Triple,,8.49,1090,,72,30,4,260,1650,43,3,9,71
Wendy's,Double Stack,,3.29,390,,21,9,1.5,90,740,26,1,6,25
Wendy's,Jr. Bacon Cheeseburger,,3.19,380,,22,8,1,65,680,25,1,5,19
Wendy's,Jr. Cheeseburger,,2.69,280,,13,6,1,50,660,26,1,6,16
Wendy's,Jr. Cheeseburger Deluxe,,2.99,340,,19,7,1,55,660,27,2,7,16
Wendy's,Son of Baconator,,6.29,630,,39,15,1.5,125,1280,37,2,7,34
Wendy's,Crispy Chicken BLT,,3.19,420,,23,6,0,50,950,35,2,5,20
Wendy's,Crispy Chicken Sandwich,,2.69,330,,16,3,0,30,600,33,2,4,14
Wendy's,Homestyle Asiago Ranch Chicken Club,,7.59,660,,34,9,0,100,1650,52,3,7,38
Wendy's,Homestyle Chicken Sandwich,,6.59,510,,22,4,0,70,1150,51,3,6,28
Wendy's,Spicy Asiago Ranch Club,,7.59,670,,32,9,0,100,1530,55,4,6,38
Wendy's,Spicy Chicken Sandwich,,6.59,510,,20,3.5,0,65,1030,54,4,6,29
Wendy's,Artisan Egg Sandwich with Bacon,,3.99,320,,17,8,0,245,750,25,1,4,18
Wendy's,Artisan Egg Sandwich with Sausage,,3.99,480,,33,13,0,275,980,27,1,4,21
Wendy's,Fresh-Baked Biscuit with Applewood Smoked Bacon,,3.39,410,,24,13,0,235,970,34,1,5,15
Wendy's,Fresh Baked Biscuit with Natural Sausage,,3.39,590,,41,19,0,270,1270,36,1,6,20
Wendy's,Honey Butter Chicken Biscuit,,3.89,500,,26,12,0,50,1120,48,1,9,19
Wendy's,Sausage Biscuit,,1.69,480,,33,15,0,50,1010,35,1,5,12
